URL,star labels,star percentages
https://fr.trustpilot.com/review/atelierbox.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['94%', '4%', '0%', '0%', '2%']"
https://fr.trustpilot.com/review/bigbagexpress.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['93%', '5%', '2%', '0%', '0%']"
https://fr.trustpilot.com/review/familysandwood.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['100%', '0%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/lilibloom.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['96%', '4%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/www.yaf-paris.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '2%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/lampesdirect.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['80%', '10%', '3%', '2%', '5%']"
https://fr.trustpilot.com/review/qonto.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['85%', '7%', '1%', '<1%', '6%']"
https://fr.trustpilot.com/review/ionos.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['72%', '11%', '5%', '3%', '9%']"
https://fr.trustpilot.com/review/eset.com/fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['78%', '16%', '3%', '1%', '2%']"
https://fr.trustpilot.com/review/remerciementdeces.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['82%', '11%', '3%', '1%', '3%']"
https://fr.trustpilot.com/review/www.latribuducarton.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '11%', '3%', '1%', '1%']"
https://fr.trustpilot.com/review/welkit.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '9%', '2%', '1%', '2%']"
https://fr.trustpilot.com/review/www.cocolis.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '10%', '2%', '1%', '3%']"
https://fr.trustpilot.com/review/otypo.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '8%', '2%', '2%', '4%']"
https://fr.trustpilot.com/review/123kugellager.de,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '7%', '3%', '2%', '4%']"
https://fr.trustpilot.com/review/merci-facteur.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '8%', '3%', '1%', '2%']"
https://fr.trustpilot.com/review/www.ecocarton.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '11%', '3%', '1%', '<1%']"
https://fr.trustpilot.com/review/www.transfertpress.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['81%', '11%', '3%', '2%', '3%']"
https://fr.trustpilot.com/review/facimprimeur.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '8%', '3%', '2%', '3%']"
https://fr.trustpilot.com/review/nuxit.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '10%', '1%', '<1%', '3%']"
https://fr.trustpilot.com/review/demeclic.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['81%', '15%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/youstock.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['89%', '5%', '<1%', '1%', '4%']"
https://fr.trustpilot.com/review/lamaisondukakemono.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['83%', '9%', '3%', '2%', '3%']"
https://fr.trustpilot.com/review/stefanodesign.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['77%', '14%', '3%', '2%', '4%']"
https://fr.trustpilot.com/review/www.legimetrie.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['82%', '10%', '2%', '2%', '4%']"
https://fr.trustpilot.com/review/www.sharesub.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '7%', '1%', '<1%', '4%']"
https://fr.trustpilot.com/review/autotabac.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['81%', '13%', '3%', '1%', '2%']"
https://fr.trustpilot.com/review/best-hygiene.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['83%', '11%', '2%', '1%', '3%']"
https://fr.trustpilot.com/review/baumesdemarie.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['85%', '10%', '4%', '<1%', '<1%']"
https://fr.trustpilot.com/review/smartobjet.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['68%', '21%', '6%', '2%', '3%']"
https://fr.trustpilot.com/review/wiismile.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '10%', '2%', '<1%', '1%']"
https://fr.trustpilot.com/review/printmydtf.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '9%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/sac-personnalisable.net,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['90%', '9%', '1%', '0%', '0%']"
https://fr.trustpilot.com/review/wismer.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '8%', '3%', '<1%', '3%']"
https://fr.trustpilot.com/review/dosettedecafe.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['87%', '10%', '2%', '<1%', '1%']"
https://fr.trustpilot.com/review/mesballesdegolf.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['89%', '7%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/plumes-naturelles.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['88%', '7%', '2%', '<1%', '2%']"
https://fr.trustpilot.com/review/axeptio.eu,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['83%', '9%', '4%', '0%', '4%']"
https://fr.trustpilot.com/review/easyhoster.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['95%', '3%', '<1%', '0%', '1%']"
https://fr.trustpilot.com/review/3dcobalt.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['83%', '13%', '3%', '<1%', '0%']"
