URL,star labels,star percentages
https://fr.trustpilot.com/review/familysandwood.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['100%', '0%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/bigbagexpress.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['93%', '6%', '1%', '0%', '0%']"
https://fr.trustpilot.com/review/pierregaslyshop.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['92%', '6%', '2%', '0%', '0%']"
https://fr.trustpilot.com/review/lilibloom.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['97%', '3%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/www.yaf-paris.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '2%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/parallele48.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '2%', '0%', '0%', '0%']"
https://fr.trustpilot.com/review/editionsdixneuf.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['98%', '0%', '0%', '0%', '2%']"
https://fr.trustpilot.com/review/lampesdirect.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['80%', '10%', '3%', '2%', '5%']"
https://fr.trustpilot.com/review/qonto.com,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['85%', '7%', '1%', '<1%', '6%']"
https://fr.trustpilot.com/review/ionos.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['73%', '11%', '4%', '3%', '9%']"
https://fr.trustpilot.com/review/remerciementdeces.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['82%', '11%', '3%', '1%', '3%']"
https://fr.trustpilot.com/review/www.latribuducarton.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['84%', '11%', '3%', '1%', '1%']"
https://fr.trustpilot.com/review/welkit.fr,"['5 étoiles', '4 étoiles', '3 étoiles', '2 étoiles', '1 étoile']","['86%', '9%', '2%', '1%', '2%']"
